window_length,polyorder,amp,A11,A12,A21,A22,B1,B2,A_rel_error,B_rel_error,stable,complex_pair,fn_Hz,zeta,fn_Hz_baseline,zeta_baseline,fn_rel_dev_from_baseline,zeta_rel_dev_from_baseline
151,2,-0.025,-2440408.888785346,-1995174.129434524,1584786.3008088446,-888578.8335316213,-2001250.5954892854,2192827.2343554664,0.2131709287183531,0.1805867451263958,True,True,367452.2061785854,0.7209438977234974,405461.5592712833,0.7324241189728685,0.0937434196253037,0.015674280723401955
151,2,0.025,-2828314.3945784834,-2084348.9076449163,1504954.23908042,-257813.3929617426,-2676334.6247987053,1872033.998006377,0.3344508667019599,0.17752309839588837,True,True,312933.87367648724,0.784786393735148,364285.16493131575,0.7545887715722152,0.14096454151381804,0.040018647640376284
151,2,0.05,-2873940.669272825,-2117160.422019844,1423010.8593814005,-873390.3108634095,-2639521.3717827154,2054299.3863392647,0.18913903727577214,0.12571728454167527,True,True,374024.75599931757,0.7972817832560354,441544.8751574887,0.8119707005428363,0.15291790927046378,0.018090452373442454
151,2,0.1,-3015255.1949064974,-2619075.65839905,1503766.2019636875,-676127.3926954519,-2469993.897440048,2076965.6483140648,0.26331431654129966,0.12129870901627307,True,True,389106.1402453123,0.7549376955216007,462000.31725631584,0.7800510169409607,0.1577794955724287,0.03219446020062133
151,3,-0.1,-2973232.0522200055,-2139306.147285321,1569558.533437645,-1638406.393443721,-2635561.9621250615,2551536.7577084806,0.0327955506875331,0.02294077125102373,True,True,456559.15618695586,0.8038006076910837,461989.3787486549,0.8007638851440457,0.01175399870968323,0.003792282098850844
151,3,-0.05,-2858426.392660215,-2079868.7004615199,1572590.0081113083,-1603993.2582519792,-2684380.985878689,2590485.458453294,0.02721030510870034,0.040354388852483,True,True,446079.1780716635,0.7960651163580966,453596.2041634908,0.8002548011242042,0.016572065689328237,0.005235438463126858
151,3,-0.025,-2500789.662255653,-1834502.4542333484,1595317.7505062486,-1279382.1832882427,-2137771.9449826824,2368007.827919219,0.14640099989401115,0.12639398151459105,True,True,393923.11541669676,0.7636427153033516,405461.5592712833,0.7324241189728685,0.028457553103983537,0.04262365960075588
151,3,0.025,-2784413.108353774,-2033319.7192828646,1649933.8240923455,-732678.7562499156,-2637277.774959486,2208692.5655491967,0.22647515714438113,0.0832749998520506,True,True,369668.7759834272,0.7571136540688836,364285.16493131575,0.7545887715722152,0.01477856242959135,0.003346037725167576
151,3,0.05,-2841019.1396780103,-1880626.4343404225,1493440.4126402186,-1656303.4778776465,-2691748.1207580697,2446397.7072699545,0.06236983752714994,0.03672749845232171,True,True,436275.99332137423,0.8203191743531317,441544.8751574887,0.8119707005428363,0.011932834310974994,0.010281742684451744
151,3,0.1,-2970284.6529787723,-2260173.270784377,1538691.0155106292,-1530703.8159118153,-2569871.0330497203,2488985.5062216506,0.05116169767986919,0.0031017403595133075,True,True,450842.2825904673,0.7944624886418156,462000.31725631584,0.7800510169409607,0.024151573600885875,0.018475037385850414
151,4,-0.1,-2971309.4663602137,-2178328.213896806,1578370.574613247,-1736973.3942419896,-2616326.9726871634,2603571.1147032566,0.037776416409519474,0.031475654244713824,True,True,466714.7715141927,0.8027884871830144,461989.3787486549,0.8007638851440457,0.01022835801623185,0.0025283383485813766
151,4,-0.05,-2864068.388378092,-2030449.3076982624,1580628.2258465725,-1662512.9160756355,-2711779.3082618774,2624871.0327905607,0.03286004960911662,0.0523810543739752,True,True,449339.70668046986,0.8016516003375083,453596.2041634908,0.8002548011242042,0.0093838913199696,0.0017454430905529223
151,4,-0.025,-2462835.2767774235,-2018801.884685604,1611529.9210868292,-1325992.6482878528,-2017341.6384436144,2406128.52721683,0.12974783122573746,0.15669830664710516,True,True,406361.59642384364,0.7419631900572061,405461.5592712833,0.7324241189728685,0.0022197841743073336,0.01302397181801568
151,4,0.025,-2782819.7739187144,-1961813.4745809012,1644076.6954593034,-678580.7491691005,-2664119.317415879,2181968.5726169725,0.24129442518948876,0.09236667522366418,True,True,359906.2945531708,0.7653367162614474,364285.16493131575,0.7545887715722152,0.01202044661623971,0.014243446356667187
151,4,0.05,-2828215.805553453,-2021484.879518623,1496842.452733824,-1651273.85758185,-2620756.692979683,2448155.515499698,0.029821693754492475,0.019953718497143058,True,True,441522.4100778504,0.8073575725084106,441544.8751574887,0.8119707005428363,5.08783611864577e-05,0.00568139716290457
151,4,0.1,-2960413.567329877,-2462372.966514587,1543444.8735752937,-1579652.9165310864,-2469483.9255505167,2515560.0166958193,0.08290095298839972,0.028754563915447052,True,True,463383.1865856822,0.779672249436164,462000.31725631584,0.7800510169409607,0.0029932216011859516,0.00048556760592669555
